temp,500G_lambda,500G_lambda_err,1500G_lambda,1500G_lambda_err,3000G_lambda,3000G_lambda_err
1.56877,0.16579,0.00551,nan,nan,nan,nan
1.60622,nan,nan,0.03155,0.00097,nan,nan
4.55674,0.34076,0.01579,nan,nan,nan,nan
4.84392,nan,nan,0.08111,0.00288,nan,nan
5.06023,nan,nan,nan,nan,0.02702,0.00108
6.51474,nan,nan,0.14075,0.00466,nan,nan
6.51610,0.52264,0.02458,nan,nan,nan,nan
7.41689,0.54915,0.03480,nan,nan,nan,nan
8.51366,0.78440,0.03717,nan,nan,nan,nan
8.55477,nan,nan,0.21321,0.00718,nan,nan
10.03300,nan,nan,nan,nan,0.09379,0.00356
10.55670,1.09181,0.05193,nan,nan,nan,nan
10.56100,nan,nan,0.36794,0.01229,nan,nan
12.53730,1.09533,0.05502,nan,nan,nan,nan
12.53830,nan,nan,0.55666,0.01175,nan,nan
15.03740,1.11560,0.05248,nan,nan,nan,nan
15.04230,nan,nan,0.78480,0.01709,nan,nan
15.05250,nan,nan,nan,nan,0.23310,0.01342
17.54650,nan,nan,0.91217,0.02032,nan,nan
17.87520,nan,nan,nan,nan,0.38630,0.01788
20.44400,nan,nan,0.91266,0.02217,nan,nan
20.46370,nan,nan,nan,nan,0.56244,0.02684
20.48020,0.90770,0.04083,nan,nan,nan,nan
22.57890,nan,nan,nan,nan,0.59787,0.02749
22.58140,nan,nan,0.86587,0.02062,nan,nan
25.09230,0.69659,0.01472,nan,nan,nan,nan
25.09650,nan,nan,nan,nan,0.56984,0.01577
25.10060,nan,nan,0.74185,0.01699,nan,nan
27.56890,nan,nan,nan,nan,0.51754,0.01441
30.10410,nan,nan,0.45698,0.00895,nan,nan
30.10520,0.37753,0.00699,nan,nan,nan,nan
32.12810,nan,nan,nan,nan,0.35628,0.01010
35.00000,0.22466,0.00614,0.27433,0.00487,nan,nan
40.00010,0.12212,0.00186,nan,nan,nan,nan
40.00130,nan,nan,0.15811,0.00279,nan,nan
40.01050,nan,nan,nan,nan,0.17982,0.00434
45.01620,0.07639,0.00111,nan,nan,nan,nan
50.03640,nan,nan,0.06401,0.00094,nan,nan
50.03650,0.04953,0.00071,nan,nan,nan,nan
55.03580,0.03761,0.00054,nan,nan,nan,nan
60.05490,0.02896,0.00043,nan,nan,nan,nan
60.05920,nan,nan,0.03729,0.00055,nan,nan
70.08250,0.01912,0.00029,nan,nan,nan,nan
70.17560,nan,nan,nan,nan,0.02368,0.00057
80.09830,0.01387,0.00022,nan,nan,nan,nan
80.14920,nan,nan,0.01627,0.00026,nan,nan
90.13140,0.01056,0.00018,nan,nan,nan,nan
100.02500,0.00833,0.00014,nan,nan,nan,nan
100.10700,nan,nan,nan,nan,0.00860,0.00024
100.17300,nan,nan,0.00958,0.00017,nan,nan
110.09900,0.00659,0.00013,nan,nan,nan,nan
120.01500,nan,nan,0.00584,0.00012,nan,nan
120.45000,0.00605,0.00011,nan,nan,nan,nan
