# xData, xFit, Data0, yFit0
 0.00000000e+00,  0.00000000e+00, -1.26272745e-01,  6.22690292e-31
 1.00000000e-01,  9.77517107e-03, -4.69522065e-02,  7.85553196e-31
 2.00000000e-01,  1.95503421e-02,  1.64418509e-01,  9.90637249e-31
 3.00000000e-01,  2.93255132e-02,  2.47630711e-02,  1.24878956e-30
 4.00000000e-01,  3.91006843e-02,  1.17478084e-01,  1.57361835e-30
 5.00000000e-01,  4.88758553e-02,  7.36739528e-02,  1.98218924e-30
 6.00000000e-01,  5.86510264e-02, -8.12519227e-02,  2.49589533e-30
 7.00000000e-01,  6.84261975e-02,  6.91864495e-02,  3.14154417e-30
 8.00000000e-01,  7.82013685e-02, -4.04170596e-02,  3.95271520e-30
 9.00000000e-01,  8.79765396e-02, -4.11566877e-02,  4.97145400e-30
 1.00000000e+00,  9.77517107e-02,  1.24045285e-02,  6.25038656e-30
 1.10000000e+00,  1.07526882e-01, -1.94802610e-01,  7.85535613e-30
 1.20000000e+00,  1.17302053e-01,  1.52193749e-01,  9.86871097e-30
 1.30000000e+00,  1.27077224e-01, -8.56723345e-02,  1.23934018e-29
 1.40000000e+00,  1.36852395e-01,  1.27695924e-01,  1.55580865e-29
 1.50000000e+00,  1.46627566e-01,  1.74029632e-02,  1.95234867e-29
 1.60000000e+00,  1.56402737e-01,  1.95581687e-01,  2.44903015e-29
 1.70000000e+00,  1.66177908e-01, -8.42527049e-02,  3.07090535e-29
 1.80000000e+00,  1.75953079e-01, -3.98042083e-02,  3.84923371e-29
 1.90000000e+00,  1.85728250e-01,  4.31201234e-02,  4.82300463e-29
 2.00000000e+00,  1.95503421e-01, -2.81809137e-01,  6.04083019e-29
 2.10000000e+00,  2.05278592e-01,  1.05693718e-01,  7.56329650e-29
 2.20000000e+00,  2.15053763e-01,  1.96806894e-01,  9.46588391e-29
 2.30000000e+00,  2.24828935e-01,  1.43849879e-01,  1.18425921e-28
 2.40000000e+00,  2.34604106e-01,  9.63550474e-02,  1.48104386e-28
 2.50000000e+00,  2.44379277e-01, -1.86357610e-02,  1.85150384e-28
 2.60000000e+00,  2.54154448e-01,  1.63649600e-01,  2.31375230e-28
 2.70000000e+00,  2.63929619e-01,  1.37112394e-01,  2.89031156e-28
 2.80000000e+00,  2.73704790e-01,  5.01225858e-02,  3.60917554e-28
 2.90000000e+00,  2.83479961e-01,  6.52929700e-04,  4.50512558e-28
 3.00000000e+00,  2.93255132e-01, -4.61836151e-02,  5.62135932e-28
 3.10000000e+00,  3.03030303e-01, -1.57053008e-01,  7.01150652e-28
 3.20000000e+00,  3.12805474e-01,  1.56543297e-01,  8.74212248e-28
 3.30000000e+00,  3.22580645e-01, -2.77283473e-01,  1.08957714e-27
 3.40000000e+00,  3.32355816e-01, -4.72449987e-02,  1.35748371e-27
 3.50000000e+00,  3.42130987e-01,  2.10087987e-02,  1.69062318e-27
 3.60000000e+00,  3.51906158e-01,  1.09837128e-01,  2.10472114e-27
 3.70000000e+00,  3.61681329e-01,  2.25058622e-01,  2.61925545e-27
 3.80000000e+00,  3.71456500e-01,  1.27208312e-01,  3.25834225e-27
 3.90000000e+00,  3.81231672e-01, -3.62729821e-02,  4.05182884e-27
 4.00000000e+00,  3.91006843e-01,  9.50951615e-02,  5.03664144e-27
 4.10000000e+00,  4.00782014e-01, -1.56386676e-01,  6.25844624e-27
 4.20000000e+00,  4.10557185e-01,  1.92338571e-01,  7.77369627e-27
 4.30000000e+00,  4.20332356e-01, -2.60372637e-04,  9.65215215e-27
 4.40000000e+00,  4.30107527e-01, -4.78677125e-02,  1.19799857e-26
 4.50000000e+00,  4.39882698e-01, -1.06738154e-02,  1.48635994e-26
 4.60000000e+00,  4.49657869e-01,  1.18813744e-01,  1.84343246e-26
 4.70000000e+00,  4.59433040e-01,  1.67183984e-01,  2.28541999e-26
 4.80000000e+00,  4.69208211e-01,  6.50645892e-01,  2.83230723e-26
 4.90000000e+00,  4.78983382e-01,  4.75909382e-01,  3.50873243e-26
 5.00000000e+00,  4.88758553e-01,  8.68018219e-01,  4.34505912e-26
 5.10000000e+00,  4.98533724e-01,  1.26678343e+00,  5.37869203e-26
 5.20000000e+00,  5.08308895e-01,  1.77834262e+00,  6.65569201e-26
 5.30000000e+00,  5.18084066e-01,  2.40270499e+00,  8.23275716e-26
 5.40000000e+00,  5.27859238e-01,  3.04549983e+00,  1.01796523e-25
 5.50000000e+00,  5.37634409e-01,  3.79705290e+00,  1.25821869e-25
 5.60000000e+00,  5.47409580e-01,  4.52500012e+00,  1.55458641e-25
 5.70000000e+00,  5.57184751e-01,  5.14161100e+00,  1.92003504e-25
 5.80000000e+00,  5.66959922e-01,  5.91993631e+00,  2.37049472e-25
 5.90000000e+00,  5.76735093e-01,  6.38235009e+00,  2.92552880e-25
 6.00000000e+00,  5.86510264e-01,  6.31374553e+00,  3.60915317e-25
 6.10000000e+00,  5.96285435e-01,  6.18536945e+00,  4.45083813e-25
 6.20000000e+00,  6.06060606e-01,  5.85191956e+00,  5.48673311e-25
 6.30000000e+00,  6.15835777e-01,  5.27278767e+00,  6.76116322e-25
 6.40000000e+00,  6.25610948e-01,  4.45170845e+00,  8.32845713e-25
