temp, lambda, lambda_err
1.00107000e+02,8.59533477e-03,2.44545878e-04
7.01756000e+01,2.36848334e-02,5.65270487e-04
4.00105000e+01,1.79816622e-01,4.34289715e-03
3.21281000e+01,3.56281648e-01,1.01027074e-02
2.75689000e+01,5.17543583e-01,1.44069948e-02
2.50965000e+01,5.69839348e-01,1.57663061e-02
2.25789000e+01,5.97873716e-01,2.74884467e-02
2.04637000e+01,5.62435889e-01,2.68382271e-02
1.78752000e+01,3.86295546e-01,1.78840530e-02
1.50525000e+01,2.33099947e-01,1.34246043e-02
1.00330000e+01,9.37942880e-02,3.55859087e-03
5.06023000e+00,2.70225925e-02,1.08456247e-03
