dataT0       dataT0Err       dataT1       dataT1Err       dataB        Alpha        AlphaPosErr        AlphaNegErr        Asy_1        Asy_1PosErr        Asy_1NegErr        Bet_1        Bet_1PosErr        Bet_1NegErr        LFextG_1     LFextG_1PosErr     LFextG_1NegErr     Asy_2        Asy_2PosErr        Asy_2NegErr        Asy_0        Asy_0PosErr        Asy_0NegErr        Lam_1_       Lam_1_PosErr       Lam_1_NegErr       Delta_1_     Delta_1_PosErr     Delta_1_NegErr     Lam_2_       Lam_2_PosErr       Lam_2_NegErr       CHISQ        NDF          CHISQred     RUN          
119.967      0.15201         120.015      0.02734         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             0.0658       0.0013        0.0013        0            0             0             0            0             0             51263.6      50358        1.01798      3175         
97.991       0.0358          100.173      0.40264         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             0.1058       0.0019        0.0019        0            0             0             0            0             0             51263.6      50358        1.01798      3176         
77.9954      0.04656         80.1492      0.36928         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             0.1754       0.0028        0.0028        0            0             0             0            0.0008        0.0008        51263.6      50358        1.01798      3177         
58.9986      0.04119         60.0592      0.15099         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             0.3855       0.0057        0.0057        0            0             0             0            0.0012        0.0012        51263.6      50358        1.01798      3178         
49.4996      0.04539         50.0364      0.06289         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             0.6434       0.0094        0.0094        0            0             0             0            0.00086       0.00086       51263.6      50358        1.01798      3179         
39.5001      0.03951         40.0013      0.00945         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             1.529        0.027         0.027         0            0             0             0.03         0.014         0.014         51263.6      50358        1.01798      3180         
34.502       0.04597         35           0.00303         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             2.59         0.046         0.046         0            0             0             0.007        0.012         0.012         51263.6      50358        1.01798      3181         
30.0008      0.06233         30.1041      0.00955         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             4.187        0.082         0.082         0            0             0             0.043        0.013         0.013         51263.6      50358        1.01798      3182         
25.0347      0.08644         25.1006      0.01728         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             6.55         0.15          0.15          0            0.88          0.88          0            0.0032        0.0032        51263.6      50358        1.01798      3183         
22.5011      0.07437         22.5814      0.01498         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             7.56         0.18          0.18          0            0.83          0.83          0            0.017         0.017         51263.6      50358        1.01798      3184         
20.4068      0.08557         20.444       0.04139         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             7.82         0.19          0.19          1            0.94          0.94          0.143        0.019         0.019         51263.6      50358        1.01798      3185         
17.501       0.08193         17.5465      0.02775         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             7.63         0.17          0.17          0            0.98          0.98          0.106        0.018         0.018         51263.6      50358        1.01798      3186         
15.0001      0.07427         15.0423      0.033           1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             6.43         0.14          0.14          1            0.21          0.21          0.133        0.02          0.02          51263.6      50358        1.01798      3187         
12.5013      0.05754         12.5383      0.03241         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             4.452        0.094         0.094         6            0.58          0.58          0.041        0.014         0.014         51263.6      50358        1.01798      3188         
10.5011      0.03702         10.561       0.02194         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             2.905        0.097         0.097         14.6         1.4           1.4           0            0.0031        0.0031        51263.6      50358        1.01798      3189         
8.49817      0.0279          8.55477      0.01781         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             1.664        0.056         0.056         25.4         1.4           1.4           0            0.0027        0.0027        51263.6      50358        1.01798      3190         
6.49899      0.01861         6.51474      0.01035         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             1.088        0.036         0.036         30           1.4           1.4           0            0.0026        0.0026        51263.6      50358        1.01798      3191         
4.79978      0.015           4.84392      0.00752         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             0.619        0.022         0.022         37.4         1.4           1.4           0            0.001         0.001         51263.6      50358        1.01798      3192         
1.82644      0.00092         1.60622      0.00152         1500         0.872543     0             0             0.22         2.500e-05     2.500e-05     0.5          0             0             1500         0             0             0.01605      0.00035       0.00035       0            0             0             0.2348       0.0072        0.0072        42.94        0.96          0.96          0            0.00081       0.00081       51263.6      50358        1.01798      3193         


