Temperature	Field	Mag	Chi	ChiT
1.922253	1000	4402.3408135709	4.4023408135709	8.46241283590911
2.099116	1000	4044.1421881647	4.0441421881647	8.48912357345153
2.299752	1000	3701.93848738922	3.70193848738922	8.51354044025033
2.498608	1000	3424.43476563885	3.42443476563885	8.55632010090335
2.699453	1000	3184.64138177622	3.18464138177622	8.59678973195996
2.898075	1000	2976.89265112629	2.97689265112629	8.62725816991283
3.198075	1000	2711.95469248523	2.71195469248523	8.6730345031697
3.598243	1000	2422.80982857459	2.42280982857459	8.71785850599973
4.006579	1000	2183.7134987777	2.1837134987777	8.74922064621924
4.497353	1000	1960.91142757386	1.96091142757386	8.81891089153356
4.996468	1000	1776.71352060561	1.77671352060561	8.87729225087329
5.496344	1000	1621.62642865953	1.62162642865953	8.91301669140422
5.996962	1000	1491.98507225259	1.49198507225259	8.94737778286601
6.496469	1000	1382.00137121861	1.38200137121861	8.9781290660792
6.996079	1000	1286.54724154727	1.28654724154727	9.00078613909676
7.496856	1000	1204.6033297452	1.2046033297452	9.03073770022028
7.996264	1000	1133.43335281758	1.13343335281758	9.0632323155345
8.995801	1000	1013.29265281758	1.01329265281758	9.11537905950902
9.994203	1000	916.962442839734	0.916962442839734	9.1643087971162
10.99798	1000	838.04605788774	0.83804605788774	9.21681378372821
12.998	1000	716.880784970458	0.716880784970458	9.31801644304601
14.99953	1000	627.866380542836	0.627866380542836	9.41770061094369
17.00076	1000	558.93684133678	0.55893684133678	9.50235109472468
18.9999	1000	504.268334132201	0.504268334132201	9.5810479216784
21.00063	1000	459.940810587149	0.459940810587149	9.6590467850408
22.99991	1000	423.305935	0.423305935	9.73599840746585
24.99957	1000	392.284027906204	0.392284027906204	9.8069320155231
26.99995	1000	365.792319811669	0.365792319811669	9.87637434529908
29.00027	1000	342.829464235598	0.342829464235598	9.94214702678769
30.99958	1000	322.725809087888	0.322725809087888	10.0043645368847
34.99961	1000	289.164391281388	0.289164391281388	10.120640920736
39.99873	1000	256.005965196455	0.256005965196455	10.2399134802824
44.99751	1000	229.836269461226	0.229836269461226	10.3420598334442
29.99903	10000	3283.70355096012	0.328370355096012	9.85079213363591
35.00042	10000	2861.45998423191	0.286145998423191	10.015230126131
40.00155	10000	2536.03464361891	0.253603464361891	10.1445316598454
44.99879	10000	2278.88380450886	0.227888380450886	10.2547013753495
49.99657	10000	2072.56911058346	0.207256911058346	10.3621346617124
54.996	10000	1901.62123320163	0.190162123320163	10.4581561341157
59.99642	10000	1757.74311511448	0.175774311511448	10.5458294186516
64.991	10000	1635.31056606721	0.163531056606721	10.6280468999274
69.99673	10000	1527.94101350812	0.152794101350812	10.6950874578455
74.99155	10000	1434.03940148449	0.143403940148449	10.7540837478394
79.99982	10000	1351.16330056869	0.135116330056869	10.8092820836101
85.00084	10000	1277.55767946455	0.127755767946455	10.8593475902937
89.99831	10000	1211.96700574594	0.121196700574594	10.9074982292895
100.0033	10000	1098.03872507755	0.109803872507755	10.9807496035548
109.9922	10000	1005.10061871123	0.100510061871123	11.0553228273409
120.0017	10000	926.58926105613	0.092658926105613	11.1192286528479
130.01	10000	860.407487577548	0.0860407487577548	11.1861577459957
140.005	10000	802.659520254801	0.0802659520254801	11.2376346133273
150.0029	10000	752.046766414328	0.0752046766414328	11.2809195897772
160.0048	10000	707.491936957164	0.0707491936957164	11.3202105874444
170.0049	10000	667.920352496307	0.0667920352496307	11.3549732734099
180.0053	10000	632.67227784712	0.063267227784712	11.3884363175554
190.0067	10000	600.888856802068	0.0600888856802068	11.4172908747733
200.0009	10000	572.165584006647	0.0572165584006647	11.4433631750355
209.9972	10000	545.915013297637	0.0545915013297637	11.4640624230466
219.9946	10000	522.008224903988	0.0522008224903988	11.4838990634463
229.9927	10000	500.100214903988	0.0500100214903988	11.5019398696348
239.9898	10000	479.82927721935	0.047982927721935	11.5154132274016
249.9944	10000	460.889031665436	0.0460889031665436	11.5219676937782
259.9866	10000	443.707471004431	0.0443707471004431	11.5357996781041
269.9883	10000	427.312477529542	0.0427312477529542	11.5369369376989
279.9882	10000	412.380227610783	0.0412380227610783	11.5461597644333
289.9929	10000	398.674803286558	0.0398674803286558	11.5612862361999
299.9904	10000	385.859812684638	0.0385859812684638	11.575423955119
